Monitor ID,Latitude,Longitude,Location,Address
SanjayNagar_UPPCB,28.685382,77.453839,"Sanjay Nagar, Ghaziabad - UPPCB","District Combined Hospital, P-Block, Sector 23, Sanjay Nagaar, Ghaziabad"
Indirapuram_UPPCB,28.646233,77.358075,"Indirapuram, Ghaziabad - UPPCB","Ganga Jalpariyojan, Phase 2, Gyankhand-4, Indirapuram"
Vasundhara_UPPCB,28.6603346,77.3572563,"Vasundhara, Ghaziabad - UPPCB",""
Loni_UPPCB,28.757294,77.278792,"Loni, Ghaziabad - UPPCB","Loni Nagar, Palika Parisad Building, Loni Dehat, Uttar Pradesh"
NoidaSector62_IMD,28.6245479,77.3577104,"Sector - 62, Noida - IMD",""
